_id,check_in_id,created_at,restaurant_name
65cae13b9381b65064fa3629,21903,2023-12-02T22:47:21.285536Z,Llama San
65cae13b9381b65064fa362a,21904,2023-12-02T22:51:24.502652Z,Greenpoint Fish & Lobster
65cae13b9381b65064fa362b,21905,2023-12-02T22:51:51.21497Z,Greenpoint Fish & Lobster
65cae13b9381b65064fa362c,21906,2023-12-02T23:00:10.543411Z,Hanoi House
65cae13b9381b65064fa362d,21907,2023-12-02T23:01:20.154091Z,gertrude's
65cae13b9381b65064fa362e,21908,2023-12-02T23:10:32.170066Z,Llama San
65cae13b9381b65064fa362f,21909,2023-12-02T23:16:41.020411Z,Canal Street Market
65cae13b9381b65064fa3630,21910,2023-12-02T23:18:00.755352Z,Canal Street Market
65cae13b9381b65064fa3631,21911,2023-12-02T23:18:46.633079Z,Canal Street Market
65cae13b9381b65064fa3632,21912,2023-12-02T23:18:55.03772Z,Canal Street Market
65cae13b9381b65064fa3633,21913,2023-12-02T23:19:55.368364Z,Upside
65cae13b9381b65064fa3634,21914,2023-12-02T23:31:13.99104Z,Crown Shy
65cae13b9381b65064fa3635,21915,2023-12-02T23:33:01.526097Z,Ed's Lobster Bar
65cae13b9381b65064fa3636,21916,2023-12-02T23:33:06.031999Z,Ed's Lobster Bar
65cae13b9381b65064fa3637,21917,2023-12-02T23:33:26.659347Z,Ed's Lobster Bar
65cae13b9381b65064fa3638,21918,2023-12-02T23:33:32.615042Z,Ed's Lobster Bar
65cae13b9381b65064fa3639,21919,2023-12-02T23:34:11.92138Z,Llama Inn
65cae13b9381b65064fa363a,21920,2023-12-02T23:34:16.837676Z,Llama Inn
65cae13b9381b65064fa363b,21921,2023-12-02T23:34:47.183279Z,Llama Inn
65cae13b9381b65064fa363c,21922,2023-12-02T23:38:12.988859Z,Upside
65cae13b9381b65064fa363d,21923,2023-12-02T23:42:09.051083Z,Upside
65cae13b9381b65064fa363e,21924,2023-12-02T23:44:50.400878Z,Il Buco Alimentari & Vineria
65cae13b9381b65064fa363f,21925,2023-12-02T23:46:57.628336Z,Lighthouse
65cae13b9381b65064fa3640,21926,2023-12-02T23:49:54.839288Z,Dhom
65cae13b9381b65064fa3641,21927,2023-12-02T23:50:01.927378Z,Dhom
65cae13b9381b65064fa3642,21928,2023-12-02T23:51:50.801026Z,Llama San
65cae13b9381b65064fa3643,21929,2023-12-02T23:57:49.214415Z,Llama Inn
65cae13b9381b65064fa3644,21930,2023-12-02T23:58:11.426981Z,Il Buco Alimentari & Vineria
65cae13b9381b65064fa3645,21931,2023-12-03T00:02:01.912976Z,Soupside
65cae13b9381b65064fa3646,21932,2023-12-03T00:15:48.526528Z,Anton's
65cae13b9381b65064fa3647,21933,2023-12-03T00:16:33.024389Z,Monsieur Vo
65cae13b9381b65064fa3648,21934,2023-12-03T00:20:59.021782Z,Llama San
65cae13b9381b65064fa3649,21935,2023-12-03T00:21:01.410516Z,Soupside
65cae13b9381b65064fa364a,21936,2023-12-03T00:21:05.705541Z,Llama San
65cae13b9381b65064fa364b,21937,2023-12-03T00:21:11.889134Z,Soupside
65cae13b9381b65064fa364c,21938,2023-12-03T00:21:35.538695Z,Soupside
65cae13b9381b65064fa364d,21939,2023-12-03T00:21:38.208432Z,Soupside
65cae13b9381b65064fa364e,21940,2023-12-03T00:22:20.459518Z,Upside
65cae13b9381b65064fa364f,21941,2023-12-03T00:29:16.574286Z,Canal Street Market
65cae13b9381b65064fa3650,21942,2023-12-03T00:29:22.288691Z,Spygold
65cae13b9381b65064fa3651,21943,2023-12-03T00:34:54.447205Z,Neeloo
65cae13b9381b65064fa3652,21944,2023-12-03T00:37:46.907786Z,Llama San
65cae13b9381b65064fa3653,21945,2023-12-03T00:39:44.981724Z,Il Buco Alimentari & Vineria
